id,bank_id,currency,status,api_version,failure_reason,failure_stage,customer_id,vertical,connectivity_type,amount_in_currency,country_id,createdat_ts,lastupdatedat_ts,initiated_at,executed_at,failed_at,authorizing_at,authorized_at,settled_at
3c6646ef17a52ac2e35fdb6a15aa44db6d85985b,b5ab8f51d35b64af079485e5bbbc335213f3a0ae,CAD,Executed,v3,,,365a3d703f257f52adde00af51c7f4897a6f9c6a,vertical 2,type 8,28.0,9e2b06736b477b7a924f60de14a7e329d82d6f4f,2010-02-10 06:00:06.452249,2010-02-10 06:00:14.766862,2010-02-10 06:00:06.452249,2010-02-10 06:00:14.766862,,2010-02-10 06:00:06.452249,2010-02-10 06:00:06.452249,
6c3e58befae5a4880c62c54bdffe7243ab7b66cc,34a0061ba48d1c2810cd930dd69d42482ca92d85,CAD,Executed,v3,,,365a3d703f257f52adde00af51c7f4897a6f9c6a,vertical 2,type 8,18.0,9e2b06736b477b7a924f60de14a7e329d82d6f4f,2010-01-12 06:00:17.890703,2010-01-12 06:00:22.517782,2010-01-12 06:00:17.890703,2010-01-12 06:00:22.517782,,2010-01-12 06:00:17.890703,2010-01-12 06:00:17.890703,
b2ee452081f287aa12f0efbd05c278edd332def9,660054a4565377c6e43ff7709abf56d8494ba604,CAD,Executed,v3,,,365a3d703f257f52adde00af51c7f4897a6f9c6a,vertical 2,type 8,28.5,9e2b06736b477b7a924f60de14a7e329d82d6f4f,2010-02-10 07:20:57.816799,2010-02-10 07:21:04.284348,2010-02-10 07:20:57.816799,2010-02-10 07:21:04.284348,,2010-02-10 07:20:57.816799,2010-02-10 07:20:57.816799,
5aa68c655e0ca1e57bcf4a70c269151811e3ee77,660054a4565377c6e43ff7709abf56d8494ba604,CAD,Executed,v3,,,365a3d703f257f52adde00af51c7f4897a6f9c6a,vertical 2,type 8,16.0,9e2b06736b477b7a924f60de14a7e329d82d6f4f,2010-02-10 06:00:20.172570,2010-02-10 06:00:25.549863,2010-02-10 06:00:20.172570,2010-02-10 06:00:25.549863,,2010-02-10 06:00:20.172570,2010-02-10 06:00:20.172570,
1d72b60adefab1066d7421d72a2c3abb3d558544,0090e57640ed78b0c16ac4606a6773769545bb17,CAD,Executed,v3,,,64c370a753b1db282770cdbf2aba5434a3185b3d,vertical 2,type 8,5.0,9e2b06736b477b7a924f60de14a7e329d82d6f4f,2009-08-14 13:42:02.939891,2009-08-14 13:42:54.515245,2009-08-14 13:42:09.978416,2009-08-14 13:42:54.515245,,2009-08-14 13:42:03.699860,2009-08-14 13:42:52.858713,2009-08-14 13:42:54.515245
bcfa97793076f65649b957dd799997ba2efaef3b,b5ab8f51d35b64af079485e5bbbc335213f3a0ae,CAD,Executed,v3,,,64c370a753b1db282770cdbf2aba5434a3185b3d,vertical 2,type 8,100.0,9e2b06736b477b7a924f60de14a7e329d82d6f4f,2009-08-20 14:05:30.662267,2009-08-20 14:06:04.153539,2009-08-20 14:05:35.397045,2009-08-20 14:06:03.968660,,2009-08-20 14:05:31.590486,2009-08-20 14:06:02.119292,2009-08-20 14:06:04.153539
caf692e3132a3ede4bce389283bbe578229018b4,6926610db1dfc17aca46a6f67789d7d6c24a7185,CAD,failed,v3,expired,initiated,64c370a753b1db282770cdbf2aba5434a3185b3d,vertical 2,type 8,7.08,9e2b06736b477b7a924f60de14a7e329d82d6f4f,2009-09-05 01:37:49.441806,2009-09-05 01:52:49.567983,2009-09-05 01:37:54.902954,,2009-09-05 01:52:49.567983,2009-09-05 01:37:49.926388,,
f23ca43a1cfc1ed47ecb6c37dd352ff426644d27,b5ab8f51d35b64af079485e5bbbc335213f3a0ae,CAD,Executed,v3,,,365a3d703f257f52adde00af51c7f4897a6f9c6a,vertical 2,type 8,40.5,9e2b06736b477b7a924f60de14a7e329d82d6f4f,2010-01-19 06:00:22.670235,2010-01-19 06:00:28.520191,2010-01-19 06:00:22.670235,2010-01-19 06:00:28.520191,,2010-01-19 06:00:22.670235,2010-01-19 06:00:22.670235,
d5478919b341d23f0cba6cf31e20728e71afc257,4d762ce64874cd49be593313e92a1e61cf74417e,CAD,Executed,v3,,,64c370a753b1db282770cdbf2aba5434a3185b3d,vertical 2,type 8,50.0,9e2b06736b477b7a924f60de14a7e329d82d6f4f,2009-10-22 15:17:17.046271,2009-10-22 15:17:56.370269,2009-10-22 15:17:23.534314,2009-10-22 15:17:56.222319,,2009-10-22 15:17:18.082226,2009-10-22 15:17:56.035144,2009-10-22 15:17:56.370269
da1be4c92610de8116f34d30c57635b26c40af1a,e8085010136a26d0ebc200ac0751b1d9d673a764,CAD,Executed,v3,,,64c370a753b1db282770cdbf2aba5434a3185b3d,vertical 2,type 8,20.0,9e2b06736b477b7a924f60de14a7e329d82d6f4f,2010-02-05 05:06:16.494003,2010-02-05 05:07:09.448444,2010-02-05 05:06:36.935998,2010-02-05 05:07:09.448444,,2010-02-05 05:06:24.631949,2010-02-05 05:07:06.656714,2010-02-05 05:07:09.190000
