bank_id,payments,executed,failed,cancelled,tpv,execution_rate,failure_cancel_rate,failure_cancel_zscore,outlier_flag
6e98f6d55096ecb8a0ff2f7fadbc69dd58d34c00,305,0,264,0,0.0,0.0,0.8655737704918033,4.017226366549319,True
6c135101d303aa38bbe56a9b0d9e95db2247d588,278,69,59,141,1627.29,0.24820143884892087,0.7194244604316546,3.1408275245407937,True
8b408eb9070e2b1dbb590cd7ffe0f467b490a66a,599,200,132,240,5082.82,0.333889816360601,0.6210350584307178,2.550825711025257,True
36d5855cad7c3ea0d5165027ba21056dd5bfb12e,561,187,147,199,3514.7,0.3333333333333333,0.6167557932263814,2.5251646725421857,True
6c4968fa85cc234c89763375210a95a9d789e501,604,152,104,225,6286.99,0.25165562913907286,0.5447019867549668,2.093086871231559,True
4c330366c06bae9c5907162ada0364a929b6c8bc,202,99,30,70,2675.8999999999996,0.4900990099009901,0.49504950495049505,1.7953408364512415,False
60225953c522a8c3382a702b8114f5b7b30d021e,247,117,119,0,12269.740000000002,0.47368421052631576,0.4817813765182186,1.7157771875439578,False
e8cad252c5674d4abbd3d008d55c6bf07be8f93b,150,52,57,15,1401.6599999999999,0.3466666666666667,0.48,1.7050949864640794,False
7f88f8bd29d554cfd6794d5f4b2e589422fd0728,1198,356,338,234,9288.89,0.29716193656093487,0.4774624373956594,1.6898782404729218,False
4d9376776e819ea20c4ed1e0ff7fcb07ff3abdb5,177,71,81,0,1382.9,0.4011299435028249,0.4576271186440678,1.5709337830710326,False
cf34fb428d5b4884fbe8fbcd3ebc4ec306798370,623,233,229,19,9052.29,0.3739967897271268,0.39807383627608345,1.2138166151307388,False
30f7c597c23522d4038935c6491bb91e74647c22,2740,1631,236,836,38925.26,0.5952554744525548,0.39124087591240875,1.1728420901894299,False
2ef35913f1ed772d2fda14f097bc4d9b7b5026cc,198,71,53,21,9589.9,0.35858585858585856,0.37373737373737376,1.0678806023043275,False
603364a15bf8abd4b8a2f7d46e6934c397ced244,316,162,43,75,5907.69,0.5126582278481012,0.37341772151898733,1.0659637760536662,False
